id;customer_name;order_date;shipping_address;total
1;portal input;2020-08-04T20:11:20;Rupiah Orchestrator Malaysian Ringgit;67263
2;Danish Krone;2020-08-05T04:39:02;Legacy;49140
3;Keys Buckinghamshire;2020-08-05T05:56:41;Auto Loan Account circuit HDD;36148
4;Outdoors Pike integrate;2020-08-05T08:52:12;Personal Loan Account feed;61533
5;Slovenia Creek;2020-08-05T08:00:12;Wooden Path Factors;54519
6;deposit;2020-08-05T17:03:16;Direct generate olive;26851
7;neutral Auto Loan Account Awesome;2020-08-05T07:05:25;Bedfordshire;18802
8;hub Gorgeous;2020-08-04T20:13:30;Unbranded Steel Table Indian Rupee Ngultrum;79375
9;protocol Hryvnia Lead;2020-08-05T06:03:10;Dam channels Plains;95921
10;wireless connecting Games;2020-08-04T20:56:30;architectures;75741
