id;product_code;product_name;quantity
1;metrics vertical Investor;navigating lavender;48388
2;Fantastic Granite Hat impactful;Tunnel Home Loan Account secured line;54551
3;JSON Handcrafted Steel Chicken Brooks;Fish Small Fresh Fish;33437
4;scale El Salvador Colon US Dollar;viral Steel Tajikistan;65608
5;orange Swedish Krona;connecting Regional users;95409
6;sticky;redundant Rubber Games;40215
7;TCP Handmade Wooden Chips overriding;capacitor Lakes Representative;59964
8;aggregate Supervisor;Vatu niches connecting;4197
9;Rustic Plastic Chips Movies Horizontal;Chief;63229
10;Infrastructure deliverables synergize;Small AGP;69268
